"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"''The Foundling'' by Charlotte Brontë","","040-001978236","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001408.0x00027e","","Brontë, Charlotte, author","1816-1855","person","author","Brontë, Charlotte, author, 1816-1855 [author]","","","","","","1833","","1 item","","Western Manuscripts. Ashley MS 159","","","English","''The foundling'': a tale written at the age of seventeen by Charlotte Brontë; 1833. Autograph fair copy with revisions and deletions, written in minute characters in imitation of print on both sides of nine octavo leaves of white laid paper. No watermark. The leaves have been bound by Charlotte to form one gathering of ten (10 is a stub) in brown sugar-paper wrappers. The title-page (f. 1) is signed ''Charlotte Brontë'', and bears the note ''This Book was begun May 31st 1833 and finished June the 27th 1833''. The Preface (f. 1b), attributed to Captain Tree, the pseudonymous author of the tale, is in Charlotte''s normal hand. At the foot of f. 2 is the note ''begun May 31st 1833'', while the end of the tale (f. 9b) is signed and dated ''Charlotte Brontë/Haworth June 27th - 1833''. The tale includes the following verses: burlesque verses, beginning ''Eaniala is a gurt bellaring bull'', f. 2b; ''The Swiss Emigrant''s Return'' (first printed, by Wise, in The Swiss Emigrant''s Return and Other Poems, 1917), 5b; ''Seranade'' (sic) (first printed in The Swiss Emigrant''s Return), ff. 5b-6; ''O wind that o''er the ocean'' (first published in The Complete Poems of Charlotte Brontë, 1923, as ''Destiny''), ff. 6b-7; ''Sound a lament in the halls of his father'' (first printed in The Swiss Emigrant''s Return as ''A Lament''), ff. 8b-9. The whole tale was first published in The Shakespeare Head Brontë, Miscellaneous and Unpublished Writings of Charlotte and P. B. Brontë, i, pp. 220-295. Ashley Library Catalogue, i, p. 70 (facsimile of ff. 1 and 7). Octavo; ff. ii+9. Tales: Charlotte Brontë, author: ''The Foundling'': a tale by Charlotte Brontë: 1833: Autogr. fair copy",""
"'Indian ink' : colonialism and the figurative strategy of Jane Eyre","Charlotte Brontë's Jane Eyre ; Fairies and feminism : recurrent patterns in Chaucer's 'The wife of Bath's tale' and Brontë's Jane Eyre ; Jane Eyre ; Jane Eyre : lurid hieroglyphics ; Jane Eyre and the secrets of furious lovemaking ; St. John's way and the wayward reader ; The enigma of St. John Rivers ; The wild English girl : Jane Eyre ; Thornfield and 'the dream to repose on' : Jane Eyre ; Triumph and jeopardy : the shape of Jane Eyre","013673741","Monograph","Language material ; Text","Volume","GBA713279","","9780791093047","","","","","Bloom, Harold [person]","Bloom's modern critical interpretations","","United States of America","New York","Chelsea House","2007","Updated edition","vii, 235 pages","823.8","YC.2007.a.2495","Governesses in literature ; Brontë, Charlotte, 1816-1855","","English","",""
"'Jane Eyre' and 'Wuthering Heights' : a study guide","","007375395","Monograph","Language material ; Text","Volume","GB7629744","","9780435186609","Oldfield, Jenny","1949-","person","","Oldfield, Jenny, 1949- [person]","","","England","London","Heinemann","1976","","10, 115 pages, 19 cm","823.8","78/0460 ; X.908/40590","Brontë, Emily, 1818-1848 ; Fiction in English--Brontë, Charlotte--1816-1855 ; Fiction in English--Brontë, Emily--1818-1848 ; Brontë, Charlotte, 1816-1855","","English","",""
"'Jane Eyre'","","010683512","Monograph","Language material ; Text","Volume","GB7931983","","9780335054213","Havely, Cicely Palser","","person","","Havely, Cicely Palser [person] ; Open University [organisation]","A101 ; An arts foundation course [arts and society in an age of industrialization]","26 and 27 [A101] ; units 26-27 [An arts foundation course [arts and society in an age of industrialization]]","England","Milton Keynes","Open University Press","1979","","64 pages, 1 colour portraits (on front cover), 30 cm","823.8","X.0512/573 (4)","Fiction in English--Brontë, Charlotte--1816-1855 ; Brontë, Charlotte, 1816-1855","","English","With answers",""
"'More precious than rubies' : Mary Taylor: friend of Charlotte Brontë, strong-minded woman","Mary Taylor","009498018","Monograph","Language material ; Text","Volume","GBA256796","","9781902645285","Bellamy, Joan","1926-","person","","Bellamy, Joan, 1926- [person]","","","England","Beverley","Highgate","2002","New edition","viii, 168 pages, illustrations, 21 cm","823.8","YC.2003.a.2138","Taylor, Mary, 1817-1893 ; Authors, English--19th century--Biography ; Women authors, English--19th century--Biography ; Brontë, Charlotte, 1816-1855--Friends and associates","Biography","English","Previous edition published as: Mary Taylor. Huddersfield : Kirklees Cultural Services, 1997",""
"'Possibilities of hidden things' : narrative transgression in Victorian fictional autobiographies","","008595480","Monograph","Language material ; Text","Volume","","","9780820428727","Lee, Hsiao-Hung","1953-","person","","Lee, Hsiao-Hung, 1953- [person]","Studies in nineteenth-century British literature","volume 5 [Studies in nineteenth-century British literature]","United States of America","New York","Peter Lang","1996","","xiii, 178 pages, 24 cm","","YA.1997.b.6204","First person narrative ; Brontë, Charlotte, 1816-1855 ; Autobiographical fiction, English--History and criticism ; Dickens, Charles, 1812-1870 ; Narration (Rhetoric) ; Self in literature ; English fiction--19th century--History and criticism","","English","",""
"'We are three sisters' : self and family in the writing of the Brontës","","006620659","Monograph","Language material ; Text","Volume","","","9780826214362","Lamonica, Drew","1973-","person","","Lamonica, Drew, 1973- [person]","","","United States of America","Columbia","University of Missouri Press","2003","","","823.809","m03/19575","Brontë, Anne, 1820-1849--Criticism and interpretation ; Sisters in literature ; Autobiography in literature ; Yorkshire (England)--In literature ; Brontë family ; Family in literature ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Self in literature ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Women and literature--England--Yorkshire--History--19th century","","English","",""
"'We are three sisters' : self and family in the writing of the Brontës","","008100624","Monograph","Language material ; Text","Volume","GBA385499","","9780826214362","Lamonica, Drew","1973-","person","","Lamonica, Drew, 1973- [person]","","","England","Columbia ; London","University of Missouri Press","2003","","xi, 260 pages, 25 cm","823.809","YC.2003.a.20448","Brontë, Anne, 1820-1849--Criticism and interpretation ; Sisters in literature ; Autobiography in literature ; Yorkshire (England)--In literature ; Brontë family ; Family in literature ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Self in literature ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Women and literature--England--Yorkshire--History--19th century","","English","",""
"(A-D). FOUR LETTERS Of Charlotte Brontë to Prof. Constantin Heger the original of Paul Emanuel in 'Villette'; 24 July, 1844 - 18 Nov. 1845?. French. That of 18 Nov. has a postscript in English. Described, published, and translated by Marion H. Spielmann in The Times, 29 July, 1913 (see also the issues of 30 and 31 July). The letters, three of which had been torn up, are preserved separately between glass plates. Presented by Dr. Paul Heger, M.D, LL.D, and his sisters","","032-002058050","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100000000039.0x000292","","","","","","Heger, Paul, MD, LL.D [former owner]","","","","","","24 Jul 1844-18 Nov 1845?","","1 item","","Western Manuscripts. Add MS 38732","Brontë, Charlotte, author, 1816-1855 ; Heger, Constantin, Professor; of Brussels","","English ; French","Professor Constantin Heger, of Brussels: Letters to, from C. Brontë: 1844, 1845.: Fr. Charlotte Brontë, author: Letters to C. Heger: 1844, 1845","Paul Heger, MD, LL.D: Presented: in 1913"
"A Brontë family chronology","","011625502","Monograph","Language material ; Text","Volume","GBA3V7618","","9781403901125","Chitham, Edward","","person","","Chitham, Edward [person]","Author chronologies","","England","Basingstoke","Palgrave Macmillan","2003","","xii, 318 pages, illustrations, 23 cm","823.809","YC.2005.a.5546 ; m03/41316","Authors, English--19th century--Chronology ; Brontë, Charlotte, 1816-1855--Chronology ; Women authors, English--Chronology ; Brontë, Emily, 1818-1848--Chronology ; Brontë family--Chronology ; English literature--19th century--Chronology ; Brontë, Anne, 1820-1849--Chronology","Chronology","English","",""
"A Brontë nővérek világa","","008189888","Monograph","Language material ; Text","Volume","","","9789630733793","Taxner-Tóth, Ernő","","person","","Taxner-Tóth, Ernő [person]","Írók világa","","Hungary","Budapest","Európa","1984","","268 pages, illustrations, 19 cm","","YA.1988.a.19192","Yorkshire (England)--Biography ; Brontë, Emily, 1818-1848 ; Brontë, Anne, 1820-1849 ; Brontë, Charlotte, 1816-1855 ; Brontë family ; Authors, English--19th century--Biography","","Hungarian","",""
"A Leaf from an Unopened Volume, or, the Manuscript of an unfortunate author ... Edited by Lord Charles Albert Florian Wellesley. Published by Sergeant Tree. January the 17th, 1834 [A transcription of an unpublished tale by Charlotte Brontë, with a facsimile of the MS.]","","000485750","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","","","","","","","","12356.s.5","","","English","",""
"A Paixõ de Jane Eyre ... Tradução livre de Mécia e João Gaspar Simões","Jane Eyre","000485666","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Simões, João Gaspar, 1903-1987 [person] ; Brontë, Charlotte, 1816-1855 [person] ; Simões, Mécia Gaspar [person]","","","","Lisboa","","1941","","451 pages (8°)","","012641.pp.32","","","","",""
"A bibliography of the manuscripts of Charlotte Brontë","","008274812","Monograph","Language material ; Text","Volume","","","9780930466565","Alexander, Christine (Christine Anne)","","person","","Alexander, Christine (Christine Anne) [person]","","","United States of America","Westport, Connecticut","Brontë Society ; Meckler Pub","1982","","xx, 205 pages, illustrations, 26 cm","016.8238","83/11463","Brontë, Charlotte, 1816-1855--Manuscripts--Catalogs ; Manuscripts, English--Catalogs","","English","",""
"A bibliography of the manuscripts of Charlotte Brontë","","008814645","Monograph","Language material ; Text","Volume","GB8232890","","9780950582917","Alexander, Christine (Christine Anne)","","person","","Brontë, Charlotte, 1816-1855 [person] ; Alexander, Christine (Christine Anne) [person]","","","England","Haworth","Brontë Society ; Meckler","1982","","xx, 205 pages, 2 facsimiles, 27 cm","016.8238","2702.f.96","Brontë, Charlotte, 1816-1855--Manuscripts--Catalogs ; Fiction in English--Brontë, Charlotte--Manuscripts--Bibliographies","","English","",""
"A breath of fresh Eyre : intertextual and intermedial reworkings of Jane Eyre","","013797055","Monograph","Language material ; Text","Volume","","","9789042022126","","","","","Mettinger-Schartmann, Elke [person] ; Rubik, Margarete, 1950- [person]","Internationale Forschungen zur allgemeinen und vergleichenden Literaturwissenschaft","111 [Internationale Forschungen zur allgemeinen und vergleichenden Literaturwissenschaft]","Netherlands","Amsterdam","Rodopi","2007","","418 pages, illustrations, 24 cm","","4554.227500 ; ZA.9.a.5563 (111)","Brontë, Charlotte, 1816-1855","","English","1 p. errata leaf as insert",""
"A companion to the Brontës","","017843640","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB665754","","9781118405475","","","","","Hoeveler, Diane Long, editor [person] ; Morse, Deborah Denenholz, 1949-, editor [person]","Blackwell companions to literature and culture","","England","Chichester, West Sussex","Wiley Blackwell","2016","1st","1 online resource","823.809","ELD.DS.61788","Brontë, Emily, 1818-1848--Criticism and interpretation ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"A companion to the Brontës","","017861723","Monograph","Language material ; Text","Volume","GBB671974","","9781118404942","","","","","Hoeveler, Diane Long, editor [person] ; Morse, Deborah Denenholz, 1949-, editor [person]","Blackwell companions to literature and culture","","England","Chichester, West Sussex","Wiley Blackwell","2016","","1 volume, 25 cm","823.809","","Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë family ; Women novelists, English--England--Haworth--19th century ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Brontë, Emily, 1818-1848--Criticism and interpretation","","English","",""
"A concordance to Brontë's Jane Eyre","Jane Eyre. 1981","010259862","Monograph","Language material ; Text","Volume","","","9780824093396","Sabol, C. Ruth","","person","","Bender, Todd K. [person] ; Sabol, C. Ruth [person] ; Brontë, Charlotte, 1816-1855 [person]","Garland reference library of the humanities","volume 290 [Garland reference library of the humanities]","United States of America","New York","Garland","1981","","xii, 448 pages, 29 cm","823.8","4072.280000","Brontë, Charlotte, 1816-1855--Concordances","","English","",""
"A day with Charlotte Brontë","","000710114","Monograph","Language material ; Text","Volume","","","","Byron, May","1861-1936","person","","Byron, May, 1861-1936 [person]","Days with the great writers","","England","London","Hodder & Stoughton","1911","","47 pages (8°)","","10601.tt.1/5","Brontë, Charlotte, 1816-1855","","English","",""
"A girl walks into a book : what the Brontës taught me about life, love, and women's work","","018333899","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB778872","","9781580056588","Pennington, Miranda K.","","person","author","Pennington, Miranda K., author [person]","","","United States of America","Berkeley","Seal Press","2017","","1 online resource","814.6","ELD.DS.163976","Brontë, Anne, 1820-1849--Influence ; Pennington, Miranda K.--Books and reading ; Brontë, Charlotte, 1816-1855--Influence ; Brontë family ; Brontë, Emily, 1818-1848--Influence ; Literary landmarks--England--Yorkshire","","English","",""
"A girl walks into a book : what the Brontës taught me about life, love, and women's work","","018344222","Monograph","Language material ; Text","Volume","GBB783166","","9781580056571","Pennington, Miranda K.","","person","author","Pennington, Miranda K., author [person]","","","United States of America","Berkeley","Seal Press","2017","","1 volume, 22 cm","823.8","","Pennington, Miranda K ; Brontë, Charlotte, 1816-1855--Influence ; Brontë, Emily, 1818-1848--Influence ; Brontë, Anne, 1820-1849--Influence","","English","",""
"A guide to Jane Eyre","","011317602","Monograph","Language material ; Text","Volume","GBA045120","","9780340747650","Easton, Jane","","person","","Easton, Jane [person] ; Buzan, Tony [person]","Teach yourself literature guides","","England","London","Hodder & Stoughton","1999","","xii, 83 pages, illustrations, 20 cm","823.8","YK.2002.a.16628","Brontë, Charlotte, 1816-1855","","English","Includes index",""
"A guide to historic Haworth and the Brontës","","013808496","Monograph","Language material ; Text","Volume","GBA780926","","9780860671602","Ward, Mark E.","","person","author","Ward, Mark E., author [person] ; Dinsdale, Ann, author [person] ; Swindells, Robert E., 1939-, author [person]","","","England","Nelson","Hendon Pub","2007","","73 pages, illustrations, maps, 22 cm","914.28170486","YK.2008.a.11679","Brontë, Emily, 1818-1848--Homes and haunts--England--Haworth ; Haworth (England)--Guidebooks ; Walking--England--Haworth--Guidebooks ; Brontë, Charlotte, 1816-1855--Homes and haunts--England--Haworth ; Haworth (England)--History ; Brontë, Anne, 1820-1849--Homes and haunts--England--Haworth","Guidebook","English","",""
"A leaf from an unopened volume, or, The manuscript of an unfortunate author : an Angrian story","","008814646","Monograph","Language material ; Text","Volume","GB8545675","","9780950582924","Brontë, Charlotte","1816-1855","person","","Brontë Society [organisation] ; Lemon, Charles, 1914- [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","Haworth","Brontë Society","1985","","xvi, 66 pages, illustrations, facsimiles, 1 genealogical table, 21 cm","823.8","YC.1986.a.4005","Fiction in English--1837-1900--Texts","","English","",""
"A new life of Charlotte Brontë","","010053388","Monograph","Language material ; Text","Volume","GB8712714","","9780333360118","Winnifrith, Tom","1938-","person","","Winnifrith, Tom, 1938- [person]","","","England","Basingstoke","Macmillan","1988","","ix, 136 pages, 23 cm","823.8","YC.1988.a.8407","Brontë, Charlotte, 1816-1855 ; Fiction in English--Brontë, Charlotte--1816-1855--Biographies","","English","bibliography: p128-132. _ Includes index",""
"A note on Charlotte Brontë","","003558183","Monograph","Language material ; Text","Volume","","","","Swinburne, Algernon Charles","1837-1909","person","","Swinburne, Algernon Charles, 1837-1909 [person]","","","England","London","Chatto & Windus","1877","","97 pages (8°)","","2308.c.18","Brontë, Charlotte, 1816-1855","","English","",""
"A romance, [or] The twelve adventurers","","009252174","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","University of Alberta, Department of English [organisation] ; Brontë, Charlotte, 1816-1855 [person]","","","Canada","Edmonton","Department of English, University of Alberta","1994","","viii, 38 pages, illustrations, 22 cm","","YA.1998.a.2546","","","English","'This little edition of the story Charlotte Brontë wrote at the age of 12 has been produced as a class project by members of English 455 (and June Menzies) at the University of Alberta, under the general editorship of the instructor, Juliet McMaster.' tp",""
"A secret sisterhood : the hidden friendships of Austen, Brontë, Eliot and Woolf","","018287415","Monograph","Language material ; Text","Volume","GBB762070","","9781781315941","Midorikawa, Emily","","person","author","Sweeney, Emma Claire, author [person] ; Midorikawa, Emily, author [person]","","","England","London","Aurum Press","2017","","1 volume, 24 cm","823.0099287","","Woolf, Virginia, 1882-1941--Friends and associates ; Eliot, George, 1819-1880--Friends and associates ; Brontë, Charlotte, 1816-1855--Friends and associates ; Female friendship--Great Britain--History ; Austen, Jane, 1775-1817--Friends and associates","","English","Additional physical form: ebook version. 9781781317259",""
"A secret sisterhood : the hidden friendships of Austen, Brontë, Eliot and Woolf","","018345490","Monograph","Language material ; Text","Online resource (ebook)","GBB784430","","9781781317259","Midorikawa, Emily","","person","author","Sweeney, Emma Claire, author [person] ; Midorikawa, Emily, author [person]","","","England","London","Aurum Press","2017","","1 online resource","823.0099287","ELD.DS.393906","Woolf, Virginia, 1882-1941--Friends and associates ; Eliot, George, 1819-1880--Friends and associates ; Brontë, Charlotte, 1816-1855--Friends and associates ; Female friendship--Great Britain--History ; Austen, Jane, 1775-1817--Friends and associates","","English","Additional physical form: Print version. 9781781315941",""
"A secret sisterhood : the hidden friendships of Austen, Brontë, Eliot and Woolf","","018667165","Monograph","Language material ; Still image ; Text","Volume","GBB802396","","9781781317860","Midorikawa, Emily","","person","author","Sweeney, Emma Claire, author [person] ; Midorikawa, Emily, author [person]","","","England","London","Aurum Press","2018","","317 pages, 8 unnumbered pages of plates, illustrations, 20 cm","823.0099287","YKL.2019.a.6985","Woolf, Virginia, 1882-1941--Friends and associates ; Eliot, George, 1819-1880--Friends and associates ; Brontë, Charlotte, 1816-1855--Friends and associates ; Female friendship--Great Britain--History ; Austen, Jane, 1775-1817--Friends and associates","","English","Originally published: 2017",""
"A stranger within the gates : Charlotte Brontë and Victorian Irishness","","009812938","Monograph","Language material ; Text","Volume","","","9780761817765 ; 9780761817772","Constable, Kathleen","","person","","Constable, Kathleen [person]","","","United States of America","Lanham, Maryland","America ; University Press","2000","","","823.8","m00/43679","Irish--England--History--19th century ; Brontë, Charlotte, 1816-1855--Knowledge--Ireland ; Ireland--Politics and government--19th century ; Ireland--Foreign public opinion, English ; English literature--Irish influences ; Authors, English--19th century--Biography","Biography","English","",""
"A vindication of the Clergy Daughters' School and of the Rev. W. Carus Wilson from the remarks in The Life of Charlotte Bronte","","003365193","Monograph","Language material ; Text","Volume","","","","Shepheard, Henry","approximately 1809-1878","person","","Shepheard, Henry, approximately 1809-1878 [person]","","","England","Kirkby Lonsdale ; London","Robert Morphet ; Seeley, Jackson & Halliday","1857","","31 pages, 20 cm","","10854.b.27. (2.)","Wilson, William Carus, 1791-1859 ; Casterton Clergy Daughters' School ; Brontë, Charlotte, 1816-1855 ; Gaskell, Elizabeth Cleghorn, 1810-1865","","English","",""
"A vindication of the Clergy Daughters' School and of the Rev. W. Carus Wilson from the remarks in The Life of Charlotte Bronte","","017098508","Monograph","Language material ; Text","Online resource","","","","Shepheard, Henry","approximately 1809-1878","person","","Shepheard, Henry, approximately 1809-1878 [person]","","","England","Kirkby Lonsdale ; London","Robert Morphet ; Seeley, Jackson & Halliday","1857","","31 pages, 20 cm","","Digital Store 10854.b.27. (2.)","Wilson, William Carus, 1791-1859 ; Casterton Clergy Daughters' School ; Brontë, Charlotte, 1816-1855 ; Gaskell, Elizabeth Cleghorn, 1810-1865","","English","",""
"Adversidad","Rockingham. Spanish","000485757","Monograph","Language material ; Text","Volume","","","","Jarnac, Philippe-Ferdinand-Auguste de Rohan-Chabot, comte de","1815-1875","person","","Brontë, Anne, 1820-1849 [person] ; Jarnac, Philippe-Ferdinand-Auguste de Rohan-Chabot, comte de, 1815-1875 [person] ; Boadella, Ricardo [person] ; Brontë, Charlotte, 1816-1855 [person]","Colección Aldebarán","number 16 [Colección Aldebarán]","Spain","Barcelona","M. Arimany","1946","","397 pages, 19 cm","","012643.tt.74","","","Spanish","Here attributed to Charlotte and Anne Brontë. Usually attributed to P. F. A. de Rohan Chabot, Count de Jarnac",""
"Agnes Grey","Agnès Grey ; Shirley : et Agnès Grey ; Shirley. French","000259305","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Romey, Charles, 1804-1874 [person] ; Brontë, Anne, 1820-1849 [person] ; Brontë, Charlotte, 1816-1855 [person] ; Rolet, A. [person]","","","France","Paris","L. Hachette","1859","","2 volumes, 18 cm","","12602.d.3","","","French","Translations of: Shirley, by Charlotte Brontë, and Agnes Grey, by Anne Brontë ; Two novels",""
"Agnes Grey","Albion and Marina ; Emma ; Farewell to Angria ; Jane Eyre ; Mina Laury ; Poems ; Professor ; Shirley ; Tenant of Wildfell Hall ; The Brontës ; Villette ; Wuthering Heights","000485582","Monograph","Language material ; Text","Volume","","","","","","","","Brontë, Charlotte, 1816-1855 [person] ; Bentley, Phyllis Eleanor, 1894-1977, compiler ; writer [person] ; Brontë, Anne, 1820-1849 [person] ; Tonbridge Printers, printer [organisation] ; Brontë, Emily, 1818-1848 [person] ; Allan Wingate (Firm), publisher [organisation]","","","England","England ; London ; Tonbridge ; Tonbridge, Kent","Allan Wingate","1949","Heather edition, arranged and introduced by Phyllis Bentley","6 volumes, 19 cm (8°)","","012274.ff.3","","Novel ; Poetry or verse","English","'The Heather edition of the works of the Brontës first published by Allan Wingate (Publishers) Ltd'--Title page verso ; Collective title from verso of half title pages on each volume",""
"Agnes Grey","Biographical notice of Ellis and Acton Bell","006899802","Monograph","Language material ; Text","Volume","GBA3U0044","","9780140432107","Brontë, Anne","1820-1849","person","","Brontë, Anne, 1820-1849 [person] ; Goreau, Angeline, 1951- [person] ; Brontë, Charlotte, 1816-1855 [person]","Penguin classics","","England","London","Penguin","2004","","272 pages, 20 cm","823.8","","Governesses--England--Fiction ; England--Social conditions--Fiction","Fiction","English","",""
"Agnes Grey","Biographical notice of Ellis and Acton Bell","018522431","Monograph","Language material ; Text","Online resource","GBB7H8483","","9780141904733","Brontë, Anne","1820-1849","person","","Brontë, Anne, 1820-1849 [person] ; Goreau, Angeline [person] ; Brontë, Charlotte, 1816-1855 [person]","Penguin classics","","England","London","Penguin","2004","","1 online resource (276 pages)","823.8","ELD.DS.189620","England--Social conditions--Fiction ; Governesses--England--Fiction","Fiction","English","",""
"Agnes Grey","Brontë Sisters ; Jane Eyre ; Wuthering Heights","011400775","Monograph","Language material ; Text","Volume","GB94A1808","","9781851527182","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Chancellor","1994","","820 pages","823.8","H.95/352","English fiction","","English","",""
"Agnes Grey","Brontës","004116042","Monograph","Language material ; Text","Volume","","","","Brontë, Anne","1820-1849","person","","Masson, Flora [person] ; Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Nelson classics","","England","London","T. Nelson","1935","","3 volumes, illustrations (16°)","","012272.a.17","","","English","Agnes Grey and the Poems are reissues of the edition published by Nelson, together with Wuthering Heights in 1905",""
"Agnes Grey","Collected novels of the Brontë sisters ; Jane Eyre ; Professor ; Tenant of Wildfell Hall ; The Brontë sisters ; Villette ; Wuthering Heights","014580457","Monograph","Language material ; Text","Volume","GBB018345","","9781840220759","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Wordsworth library collection","","England","Ware","Wordsworth","2008","","1488 pages, 24 cm","823.808","Nov.2009/1809","English fiction--19th century","","English","",""
"Agnes Grey","Four novels ; Jane Eyre ; Villette ; Wuthering Heights","010308210","Monograph","Language material ; Text","Volume","GB6803159","","","Brontë, Charlotte","1816-1855","person","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Spring","1968","","1140 pages, 21 cm","823.8","X.909/12196","","","English","",""
"Agnes Grey","Jane Eyre ; Novels by the Brontë sisters ; Wuthering Heights","008232286","Monograph","Language material ; Text","Volume","","","","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Quennell, Peter, 1905-1993, editor [person] ; Brontë, Charlotte, 1816-1855 [person]","Pilot omnibus","5 [Pilot omnibus]","England","London","Pilot Press","1947","","xvii, 703 pages, 22 cm","823.6","12275.aa.9 ; W63/1201","","","English","",""
"Agnes Grey","Jane Eyre ; Professor ; Shirley ; Tenant of Wildfell Hall ; The Brontë sisters : the complete novels ; Villette ; Wuthering Heights","015948193","Monograph","Language material ; Text","Volume","GBB261107","","9781907360480","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Collector's library editions","","England","London","","2011","","892 pages, illustrations, 31 cm","823.808","Nov.2012/1937","English fiction--19th century","","English","Originally published: London : CRW Pub, 2006",""
"Agnes Grey","Jane Eyre ; Professor ; Shirley ; Tenant of Wildfell Hall ; The complete novels ; Villette ; Wuthering Heights","012478265","Monograph","Language material ; Text","Volume","GB9213934","","","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Folio Society","1991","","7 volumes, illustrations, 23 cm","823.8","Nov.1993/59","English fiction","","English","In slip case ; Original texts published between 1847 and 1857. - Originally published by folio Society between 1964 and 1970 ; Title from slip case",""
"Agnes Grey","Jane Eyre ; Professor ; Shirley ; Tenant of Wildfell Hall ; The complete novels of Brontë sisters ; Villette ; Wuthering Heights","018838043","Monograph","Language material ; Text","Volume","GBB872498","","9781840227901","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Wordsworth box sets","","England","Ware","Wordsworth","2018","","7 volumes, 20 cm","823.808","H.2019/.7088","English fiction--19th century","","English","",""
"Agnes Grey","Jane Eyre ; Professor ; Tenant of Wildfell Hall ; The Brontë collection ; Villette ; Wuthering Heights","019019134","Monograph","Language material ; Text","Volume","GBB8F1925","","9781788287791","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Arcturus","2018","","6 volumes, 18 cm","823.808","","English fiction--19th century","","English","In slip case",""
"Agnes Grey","Jane Eyre ; Shirley ; Tenant of Wildfell Hall ; The Brontës ; Villette ; Wuthering Heights","005606790","Monograph","Language material ; Text","Computer disc","GBA215312","","9781578031368","","","","","Brontë, Anne, 1820-1849 [person] ; Winnifrith, Tom, 1938- [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Major authors on CD","","England","Reading ; Woodbridge, Connecticut","Primary Source Media","1997","","1 computer optical disc, colour, 4 3/4 in + user guide (30, 32 pages, illustrations, 21 cm)","823.8","ED.2013.x.17","Brontë family ; Authors, English--19th century ; English literature--19th century ; Authors, English--19th century--Correspondence","Correspondence","English","In container ; Title from title screen",""
"Agnes Grey","Jane Eyre ; The Brontë sisters : three novels ; Wuthering Heights","015499261","Monograph","Language material ; Text","Volume","GBB032988","","9780143105831","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Penguin","2009","","652 pages, 24 cm","823.808","H.2011/.7595","Yorkshire (England)--Fiction ; English fiction--Women authors ; English fiction--England--Yorkshire ; English fiction--19th century","","English","",""
