"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"The vanished bride","","019531368","Monograph","Language material ; Text","Volume","GBB9F1301","","9781529388985","Ellis, Bella","","person","author","Ellis, Bella, author [person]","The Brontë mysteries","","England","London","Hodder & Stoughton","2019","","1 volume, 23 cm","823.92","","Brontë, Charlotte, 1816-1855--Fiction ; Brontë, Anne, 1820-1849--Fiction ; Brontë, Emily, 1818-1848--Fiction","Detective and mystery fiction ; Fiction","English","Additional physical form: ebook version. 9781529389005",""
"The vanished bride","","019665366","Monograph","Language material ; Text","Volume","GBC002289","","9781528893213","Ellis, Bella","","person","author","Ellis, Bella, author [person]","The Brontë mysteries","","England","Rearsby","Lamplight Large","2020","","1 volume (large print)","823.92","","Brontë, Charlotte, 1816-1855--Fiction ; Brontë, Anne, 1820-1849--Fiction ; Brontë, Emily, 1818-1848--Fiction","Detective and mystery fiction ; Fiction ; Large print","English","Standard print edition originally published: London: Hodder & Stoughton, 2019",""
"The violet : a poem written at the age of fourteen [Edited by Clement K. Shorter.]","","000485763","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Clement Shorter","1916","","15 pages (4°)","","Tab.578.a.31","","","English","One of an edition of twenty-five copies privately printed",""
"The wild English girl : Jane Eyre","'Indian ink' : colonialism and the figurative strategy of Jane Eyre ; Charlotte Brontë's Jane Eyre ; Fairies and feminism : recurrent patterns in Chaucer's 'The wife of Bath's tale' and Brontë's Jane Eyre ; Jane Eyre ; Jane Eyre : lurid hieroglyphics ; Jane Eyre and the secrets of furious lovemaking ; St. John's way and the wayward reader ; The enigma of St. John Rivers ; Thornfield and 'the dream to repose on' : Jane Eyre ; Triumph and jeopardy : the shape of Jane Eyre","013673741","Monograph","Language material ; Text","Volume","GBA713279","","9780791093047","","","","","Bloom, Harold [person]","Bloom's modern critical interpretations","","United States of America","New York","Chelsea House","2007","Updated edition","vii, 235 pages","823.8","YC.2007.a.2495","Governesses in literature ; Brontë, Charlotte, 1816-1855","","English","",""
"The works of Charlotte, Emily and Anne Brontë","","000485558","Monograph","Language material ; Text","Volume","","","","","","","","S, F. J. [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Charlotte, 1816-1855, author [person] ; Brontë, Anne, 1820-1849, author [person] ; Brontë, Patrick, 1777-1861, author [person]","","","England","London","J M Dent","1893","","12 volumes (8°)","","012612.ee.12 ; 20098.bb.14","","","English","With plates including portraits The editor's prefaces signed: F. J. S.; L.P",""
"The works of Elizabeth Gaskell. Volume 8. The life of Charlotte Brontë","Life of Charlotte Brontë","018547039","Monograph","Language material ; Text","Online resource","GBB7J9033","","9781351220125","Gaskell, Elizabeth Cleghorn","1810-1865","person","author","Gaskell, Elizabeth Cleghorn, 1810-1865, author [person] ; Peterson, Linda H., editor [person]","The Pickering masters","","United Kingdom","Abingdon, Oxfordshire","Routledge","2017","","1 online resource","823.809","ELD.DS.201386","LITERARY CRITICISM / European / English, Irish, Scottish, Welsh ; Brontë, Charlotte, 1816-1855","","English","",""
"The works of the Brontë sisters","","012033324","Monograph","Language material ; Text","Volume","GB9625433","","9781853264405","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","The Wordsworth poetry library","","England","Ware, Hertfordshire","Wordsworth","1995","","xiv, 146 pages, facsimile, 20 cm","821.808","YK.1996.a.12228","English poetry ; English poetry--20th century","","English","bibliography: pxii. - Includes indexes",""
"The works of the Brontës","Works of Charlotte, Emily and Anne Brontë","000485560","Monograph","Language material ; Text","Volume","","","","","","","","Brontë, Patrick, 1777-1861, author [person] ; Brontë, Anne, 1820-1849, author [person] ; Brontë, Emily, 1818-1848, author [person] ; Brontë, Charlotte, 1816-1855, author [person]","","","England","London","J M Dent","1901","Temple edition","12 volumes (8°)","","012614.ee.1","","","English","A reissue of the edition of 1893 published as: The works of Charlotte, Emily and Anne Brontë",""
"Thornfield and 'the dream to repose on' : Jane Eyre","'Indian ink' : colonialism and the figurative strategy of Jane Eyre ; Charlotte Brontë's Jane Eyre ; Fairies and feminism : recurrent patterns in Chaucer's 'The wife of Bath's tale' and Brontë's Jane Eyre ; Jane Eyre ; Jane Eyre : lurid hieroglyphics ; Jane Eyre and the secrets of furious lovemaking ; St. John's way and the wayward reader ; The enigma of St. John Rivers ; The wild English girl : Jane Eyre ; Triumph and jeopardy : the shape of Jane Eyre","013673741","Monograph","Language material ; Text","Volume","GBA713279","","9780791093047","","","","","Bloom, Harold [person]","Bloom's modern critical interpretations","","United States of America","New York","Chelsea House","2007","Updated edition","vii, 235 pages","823.8","YC.2007.a.2495","Governesses in literature ; Brontë, Charlotte, 1816-1855","","English","",""
"Thoughts from Charlotte Brontë","Works. Selections","000485767","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Rae, Grace Milne [person]","","","Scotland","Edinburgh","W. P. Nimmo","1912","","92 pages (16°)","","012357.de.29","","","English","",""
