"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"016.8238","007432175","Monograph","Language material ; Text","Volume","GB8311404","","9780824097707","Passel, Anne","","person","","Passel, Anne [person]","Charlotte and Emily Brontë : an annotated bibliography","","Garland reference library of the humanities","volume 167 [Garland reference library of the humanities]","England ; United States of America","London ; New York","Garland","1979","","x, 359 pages, 22 cm","4072.280000 ; X.950/18658","Fiction in English--Brontë, Charlotte & Brontë, Emily--Bibliographies ; Brontë, Emily, 1818-1848--Bibliography ; Brontë, Charlotte, 1816-1855--Bibliography","","English","Includes indexes",""
"016.8238","008274812","Monograph","Language material ; Text","Volume","","","9780930466565","Alexander, Christine (Christine Anne)","","person","","Alexander, Christine (Christine Anne) [person]","A bibliography of the manuscripts of Charlotte Brontë","","","","United States of America","Westport, Connecticut","Brontë Society ; Meckler Pub","1982","","xx, 205 pages, illustrations, 26 cm","83/11463","Brontë, Charlotte, 1816-1855--Manuscripts--Catalogs ; Manuscripts, English--Catalogs","","English","",""
"016.8238","008814645","Monograph","Language material ; Text","Volume","GB8232890","","9780950582917","Alexander, Christine (Christine Anne)","","person","","Brontë, Charlotte, 1816-1855 [person] ; Alexander, Christine (Christine Anne) [person]","A bibliography of the manuscripts of Charlotte Brontë","","","","England","Haworth","Brontë Society ; Meckler","1982","","xx, 205 pages, 2 facsimiles, 27 cm","2702.f.96","Brontë, Charlotte, 1816-1855--Manuscripts--Catalogs ; Fiction in English--Brontë, Charlotte--Manuscripts--Bibliographies","","English","",""
"070.52092","013658597","Monograph","Language material ; Text","Volume","GBA774620","","","Penty, Norman E.","","person","","Penty, Norman E. [person]","The discovery of Charlotte Bronte : William Smith Williams 1800 - 1875 : a genealogical quest","","","","England","","N.E. Penty","2006","","40 pages, portraits, 21 cm","YC.2007.a.13005","Williams, William Smith, 1800-1875 ; Publishers and publishing--Great Britain--Biography ; Brontë, Charlotte, 1816-1855","Biography","English","Title from cover",""
"082.8","010662415","Monograph","Language material ; Text","Volume","GB9514699","","9780099386018","Gordon, Lyndall","","person","","Gordon, Lyndall [person]","Charlotte Brontë : a passionate life","","","","England","London","Vintage","1995","","xii, 418 pages, 16 pages of plates","YK.1996.a.5338","Brontë, Charlotte, 1816-1855--Biography ; Authors, English--19th century--Biography ; English fiction","","English","",""
"302.23","009161751","Monograph","Language material ; Text","Online resource","","","","Menon, Patricia","","person","","Menon, Patricia [person]","New Abelards : the mentor-lover in the novels of Jane Austen, Charlotte Bronte and George Eliot","","","","","","University of London Press","1998","","","299888","Performing arts ; Mass media ; Austen, Jane, 1775-1817 ; Brontë, Charlotte, 1816-1855 ; Literature ; Eliot, George, 1819-1880","","","",""
"372.412","007693282","Monograph","Language material ; Text","Volume","GBA414406","","9781844661992","","","","","Dooley, Jenny [person]","Jane Eyre, Charlotte Brontë, retold by Jenny Dooley : teacher's book","Jane Eyre","Classic readers","","England","Newbury","Express","2003","","64 pages, colour illustrations, 21 cm","","Brontë, Charlotte, 1816-1855--Study and teaching (Elementary) ; English language--Study and teaching (Elementary) ; Readers (Elementary)","","English","",""
"428.6","006990910","Monograph","Language material ; Text","Volume","GB6217162","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","English picture readers, pictorial classic series","","United Kingdom","","Oxford University Press","1961","","128 pages, illustrations, 19 cm","","","","English","This edition originally published (B5718576) 1957",""
"428.6","007033986","Monograph","Kit","","GBA357636","","9781844660711","Dooley, Jenny","","person","","Brontë, Charlotte, 1816-1855 [person] ; Dooley, Jenny [person]","Jane Eyre","","Classic readers. Level 4","","England","Newbury","Expres Publishing","2003","","1 audio CD ; 111 pages, colour illustrations, 1 portrait, 21 cm","","English language--Textbooks for foreign speakers ; Readers (Elementary)","Textbook","English","",""
"428.6","010694602","Monograph","Language material ; Text","Volume","GB9325053","","9780582088917","Swan, D. K.","","person","","Low, Mei-Yim [person] ; Brontë, Charlotte, 1816-1855 [person] ; Swan, D. K. [person]","Jane Eyre","","","","England","","Longman","1992","","48 pages","YK.1993.a.13774","English language--Reading books","","English","",""
"428.6","010694824","Monograph","Language material ; Text","Volume","GB9344008","","9780582096707","Attwood, E. M. (Evelyn May)","1906-","person","","Brontë, Charlotte, 1816-1855 [person] ; Attwood, E. M. (Evelyn May), 1906- [person]","Jane Eyre","","Longman fiction simplified edition","","England","Harlow","Longman","1993","","160 pages, 20 cm","H.93/3006","English language--Reading books","","English","",""
"428.6","010699636","Monograph","Language material ; Text","Volume","GBA104780","","9780582401907","Ward, Ann","1941-","person","","Ward, Ann, 1941- [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Penguin readers. Level 3","","England","Harlow","Addison Wesley Longman","1998","","46 pages, illustrations, 20 cm","YK.2001.a.701","England--Social life and customs--19th century--Fiction ; Governesses--Fiction ; Orphans--England--Fiction ; Man-woman relationships--Fiction","Fiction ; Reader","English","Originally published: Penguin, 1991",""
"428.6","010700018","Monograph","Language material ; Text","Volume","GBA014639","","9780582417809","Ward, Ann","1941-","person","","Ward, Ann, 1941- [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Penguin readers. Level 3","","England","Harlow","Pearson","1999","","vii, 39 pages, illustrations, 20 cm","YK.2000.a.2232","England--Social life and customs--19th century--Fiction ; Governesses--England--Fiction ; Man-woman relationships--England--Fiction ; Orphans--England--Fiction","Fiction ; Reader","English","Originally published: London : Penguin, 1991",""
"428.6","010701600","Monograph","Language material ; Text","Volume","GB7635195","","9780582538436","Ullstein, Sue","","person","","Ullstein, Sue [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","New method supplementary readers. stage 4","","England","London","Longman","1976","","2, 109 pages, illustrations, 19 cm","WP.8655/27 (10)","English language--Texts ; Readers--1950-","","English","",""
"428.6","010701620","Monograph","Language material ; Text","Volume","GB8935297","","9780582541252","Swan, D. K.","","person","","Brontë, Charlotte, 1816-1855 [person] ; Swan, D. K. [person]","Jane Eyre","","","","England","","Longman","1985","Easy reading edition","32 pages","YC.1989.a.4045","English language--Texts ; Readers--1950-","","English","",""
"428.6","010701638","Monograph","Language material ; Text","Volume","GB8749683","","9780582541610","Ullstein, Sue","","person","","Ullstein, Sue [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Longman classics. Stage 4","","England","Harlow","Longman","1987","","74 pages, colour illustrations, 20 cm","YK.1987.a.6643","English language--Texts ; Readers--1950-","","English","",""
"428.6","011934267","Monograph","Language material ; Text","Volume","GB9214607","","9780140810301","Ward, Ann","1941-","person","","Ward, Ann, 1941- [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Simply stories. Level 2","","England","London","Penguin","1991","","48 pages, illustrations, 20 cm","YK.1992.a.2731","English language--Reading books","","English","",""
"428.6","011943945","Monograph","Language material ; Text","Volume","GB9125444","","9780194216326","West, Clare","","person","","West, Clare [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Oxford bookworms. Stage 6","","England","Oxford","Oxford University Press","1990","","105 pages, portraits, 20 cm","YK.1991.a.3041","English language--Reading books ; English fiction","","English","",""
"428.6","011944295","Monograph","Language material ; Text","Volume","GBA020417","","9780194230889","West, Clare","","person","","West, Clare [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Oxford bookworms library. Classics. Stage 6","","England","Oxford","Oxford University Press","2000","2nd edition","120 pages, 20 cm","H.2001/2250","","","English","Previous edition: 1990",""
"428.6","012596112","Monograph","Language material ; Text","Volume","GB9444684","","9780195852752","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Oxford progressive English readers. Grade 1","","England ; Hong Kong","Oxford","Oxford University Press","1993","","57 pages, illustrations, 21 cm","H.94/2270","English language--Reading books","","English","Abridged",""
"428.6","012603812","Monograph","Language material ; Text","Volume","GBA011734","","9780198337805","Culshaw, Chris","","person","","Brontë, Charlotte, 1816-1855 [person] ; Culshaw, Chris [person]","Jane Eyre","","Headwork classics","","England","Oxford","Oxford University Press","1999","","92 pages, illustrations, 22 cm","YK.2001.a.5553","","","English","",""
"428.6","012608310","Monograph","Language material ; Text","Volume","GBA051082","","9780199193264","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; McAllister, Margaret [person]","Jane Eyre","","Treetops classics ; Treetops. Oxford reading tree","Stage 16 [Treetops. Oxford reading tree]","England","Oxford","Oxford University Press","2000","","112 pages, illustrations, 22 cm","YK.2001.a.10684","Orphans--Juvenile fiction ; Governesses--Juvenile fiction ; England--Social life and customs--19th century--Juvenile fiction ; Man-woman relationships--Juvenile fiction","Children's fiction ; Reader","English","",""
"428.6","013620138","Monograph","Language material ; Text","Volume","GBA862603","","9780199184781","McAllister, Margaret (Margaret I.)","","person","","McAllister, Margaret (Margaret I.) [person] ; Pendle, Alexy [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Treetops classics. Stage 16, pack A","","England","Oxford","Oxford University Press","2006","","112 pages, illustrations, 22 cm","YK.2008.a.8487","Readers (Elementary)","","English","Originally published: 2000",""
"428.6","014533866","Monograph","Language material ; Text","Volume","GBA874753","","9780194792622","West, Clare","","person","","West, Clare [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Oxford bookworms. Stage 6","","England","Oxford","Oxford University Press","1990","","120 pages, illustrations, 20 cm","YK.2008.a.10000","","","English","Simplified edition",""
"428.6","014578670","Monograph","Language material ; Text","Volume","GBB255802","","9781405876636","Ward, Ann","1941-","person","","Johnson, Richard, 1976- [person] ; Ward, Ann, 1941- [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Penguin readers. Level 3","","England","Harlow","Pearson","2008","","vii, 45 pages, illustrations, 29 cm","YK.2012.a.15902","England--Social life and customs--19th century--Fiction ; Governesses--England--Fiction ; Man-woman relationships--England--Fiction ; Orphans--England--Fiction","Fiction ; Reader","English","'1200 headwords pre-intermediate.' --Back cover ; 'British English.' --Back cover ; 'Jane Eyre was first published in 1847.' --T.p. verso ; Originally published: London : Penguin English, 1991",""
"428.6","014587320","Monograph","Language material ; Text","Volume","GBB268437","","9781405865166","Attwood, E. M. (Evelyn May)","1906-","person","","Brontë, Charlotte, 1816-1855 [person] ; Attwood, E. M. (Evelyn May), 1906- [person]","Jane Eyre","","Penguin readers. Level 5","","England","Harlow","Pearson","2008","","ix, 161 pages, 20 cm","YK.2012.a.19478","","Reader","English","'2300 headwords upper-intermediate'--Back cover ; 'British English'--Back cover ; Originally published: London : Longmans, Green & Co, 1949",""
"428.6","016529630","Monograph","Language material ; Still image ; Text","Volume","GBB398858","","9780198448792","McAllister, Margaret (Margaret I.)","","person","author","Pendle, Alexy, illustrator [person] ; Brontë, Charlotte, 1816-1855 [person] ; McAllister, Margaret (Margaret I.), author [person]","Jane Eyre","","Treetops classics. Book","Band 15 red, Oxford level 17 [Treetops classics. Book]","England","Oxford","Oxford University Press","2014","","112 pages, black and white illustrations","","","Children's fiction ; Reader","English","",""
"428.6","017910138","Monograph","Language material ; Text","Volume","GBB689199","","9780008164058","Castor, Harriet","","person","author","Castor, Harriet, author [person]","Charlotte Brontë","","Collins big cat","","England","London","Collins","2016","","79 pages, 21 cm","","Readers--Women novelists, English ; Brontë, Charlotte, 1816-1855--Juvenile literature ; Women novelists, English--19th century--Juvenile literature ; Readers (Elementary)","Children's literature","English","Band 18/Pearl",""
"428.6","019428146","Monograph","Language material ; Text","Volume","GBB9A1688","","9781510445246","Sherrick, Ally","1965-","person","author","Brontë, Charlotte, 1816-1855 [person] ; Sherrick, Ally, 1965-, author [person]","Jane Eyre","","Rising Stars reading planet","","England","London","Rising Stars","2019","","1 volume, 20 cm","","England--Social life and customs--19th century--Juvenile fiction","Children's fiction ; Reader","English","Additional physical form: ebook version. 9781510445253 ; book Band: Level 7, Saturn, blue/red",""
"428.6","019484922","Monograph","Language material ; Text","Online resource (ebook)","GBB9D1728","","9781510445253","Sherrick, Ally","1965-","person","author","Brontë, Charlotte, 1816-1855 [person] ; Sherrick, Ally, 1965-, author [person]","Jane Eyre","","Rising Stars reading planet","","England","London","Rising Stars","2019","","1 online resource","ELD.DS.455791","England--Social life and customs--19th century--Juvenile fiction","Children's fiction ; Reader","English","Additional physical form: Print version. 9781510445246 ; book Band: Level 7, Saturn, blue/red",""
"428.6","019542431","Monograph","Language material ; Text","Online resource","GBB9G5854","","9781292293103 ; 9781292293479 ; 9781292293691","Attwood, E. M. (Evelyn May)","1906-","person","","Brontë, Charlotte, 1816-1855 [person] ; Attwood, E. M. (Evelyn May), 1906- [person]","Jane Eyre","","Pearson English readers. Level 5","","England","Harlow","Pearson","2019","","1 online resource","ELD.DS.454982","","Reader","English","This adaptation originally published in print: Boston, Massachusetts : Addison Wesley Longman Limited in the Longman fiction series, 1996",""
"428.6","019578304","Monograph","Language material ; Text","Online resource","GBB9J0431","","9781292298702 ; 9781292302928 ; 9781292302935","Ward, Ann","1941-","person","","Ward, Ann, 1941- [person] ; Johnson, Richard, 1976-, illustrator [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Pearson English readers. Level 3","","England","Harlow","Pearson","2019","","1 online resource, black and white illustrations","ELD.DS.465096","England--Social life and customs--19th century--Fiction ; Governesses--England--Fiction ; Man-woman relationships--England--Fiction ; Orphans--England--Fiction","Fiction ; Reader","English","Originally published in print: London : Penguin books, 1991",""
"428.6","019790424","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBC057260","","9780008425418","Castor, Harriet","","person","author","Castor, Harriet, author [person] ; Pinteño, Ismael, illustrator [person]","Charlotte Brontë","","Collins big cat","","England","London","Collins","2020","","1 online resource, illustrations","","Readers--Women novelists, English ; Brontë, Charlotte, 1816-1855--Juvenile literature ; Women novelists, English--19th century--Juvenile literature ; Readers (Elementary)","Children's literature","English","Additional physical form: Print version. 9780008164058 ; Band 18/pearl ; Previously issued in print: 2016",""
"428.64","007684314","Monograph","Language material ; Text","Volume","GB7407195","","9780196382579","Fyfe, Muriel","","person","","Fyfe, Muriel [person] ; Brontë, Charlotte, 1816-1855 [person] ; Po, Frank [person]","Jane Eyre","","Oxford in Asia ; Oxford progressive English readers. grade 1","","England ; Hong Kong","London","Oxford University Press","1973","","6, 45 pages, colour illustrations, 22 cm","","English language--Text-books for foreign speakers ; Readers--1950- ; English language--Readers--For non-English speaking students","","English","",""
"428.64","008722168","Monograph","Language material ; Text","Volume","GB7905651","","9780003700749","Morris, Margery","","person","","Brontë, Charlotte, 1816-1855 [person] ; Morris, Margery [person]","Jane Eyre","","A Collins graded reader ; Collins English library. level 4","","England","London","Collins","1977","","95 pages, illustrations, 19 cm","H.79/1745","English language--Text-books for foreign speakers ; Readers--1950- ; English language--For non-English speaking students--Texts","","English","",""
"428.64","011944341","Monograph","Language material ; Text","Volume","GB7919146","","9780194241762","Border, Rosemary","1943-","person","","Border, Rosemary, 1943- [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Alpha books alpha classics","","England","Oxford","Oxford University Press","1979","","96 pages, illustrations, 19 cm","X.908/42446","English language--Text-books for foreign speakers ; Readers--1950- ; English language--For non-English speaking students--Texts","","English","",""
"428.64","014596826","Monograph","Language material ; Text","Volume","GBA860083","","9781905775316","","","","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Scholastic ELT readers","","England","Leamington Spa","Scholastic","2008","","1 volume, colour illustrations, 20 cm","","Governesses--England--Fiction ; England--Social life and customs--Fiction ; Eyre, Jane (Fictitious character)--Fiction","Fiction ; Reader ; Young adult fiction","English","",""
"428.64","014596827","Monograph","Language material ; Text","Volume","GBA860084","","9781905775323","","","","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Scholastic ELT readers","Level 2 [Scholastic ELT readers]","England","Leamington Spa","Scholastic","2008","","72 pages, colour illustrations, 20 cm","","Governesses--England--Fiction ; England--Social life and customs--Fiction ; Eyre, Jane (Fictitious character)--Fiction","Fiction ; Reader ; Young adult fiction","English","Includes sound disc",""
"428.64","017546524","Monograph","Language material ; Spoken word ; Text","Audio disc ; Computer disc ; Volume","GBB5C6622","","9781910965177","Kennett, John","","person","adaptor ; author","Kennett, John, adaptor ; author [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Webster's word power","","Scotland","Glasgow","Geddes & Grosset","2015","Abridged edition, abridged and retold by John Kennett","128 pages, 20 cm + 1 CD","","England--Social life and customs--Fiction","Fiction ; Reader","English","MP3-CD",""
"428.64","019700565","Monograph","Language material ; Still image ; Text","Volume","GBC016650","","9781474947909","Mackinnon, Mairi","","person","author","Pincelli, Matteo, illustrator [person] ; Mackinnon, Mairi, author [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","English readers","","England","London","Usborne","2020","","1 volume, colour illustrations, 24 cm","","Eyre, Jane, (Fictitious character)--Juvenile fiction","Children's fiction ; Reader","English","Level 3",""
"428.64","019735083","Monograph","Language material ; Text","Volume","GBC033418","","9780241430934","","","","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Penguin readers","","England","London","Penguin","2020","","1 volume, 20 cm","","Eyre, Jane, (Fictitious character)--Fiction","Fiction ; Reader","English","Level 4",""
"741.5","012919360","Monograph","Language material ; Text","Volume","GBA432076","","9780340871607","Page, Philip","1945-","person","","Basic Skills Agency [organisation] ; Page, Philip, 1945- [person] ; Pettit, Marilyn [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","Charlotte Brontë's Jane Eyre","Livewire graphics","","England","London","Hodder & Stoughton","2003","","vi, 58 pages, illustrations, 25 cm","YK.2005.a.11778","Graphic novels ; Readers","","English","Published in association with The Basic Skills Agency ; Spine title: Charlotte Brontë's Jane Eyre",""
"741.5","013494543","Monograph","Language material ; Text","Volume","GBA655478","","9780142005149","Darcy, dame","1971-","person","","Brontë, Charlotte, 1816-1855 [person] ; Darcy, dame, 1971- [person]","The illustrated Jane Eyre","","","","England ; United States of America","London ; New York","Turnaround ; Viking","2006","","550 pages, chiefly colour illustrations, 24 cm","H.2009/1520","Governesses--England--Comic books, strips, etc ; England--Social life and customs--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Novel","English","",""
"741.5","014531567","Monograph","Language material ; Text","Volume","GBA823341","","9781906332068","Brontë, Charlotte","1816-1855","person","","Corzine, Amy [person] ; Burns, John, 1938- [person] ; Wiley, Terry [person] ; Bryant, Clive [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre : the graphic novel : original text version","","","","England","Towcester","Classical Comics","2008","","141 pages, chiefly colour illustrations, 25 cm","YK.2010.a.5473","England--Social life and customs--Comic books, strips, etc--Juvenile fiction ; Eyre, Jane (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Governesses--England--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel","English","",""
"741.5","014531568","Monograph","Language material ; Text","Volume","GBA823342","","9781906332082","Brontë, Charlotte","1816-1855","person","","Corzine, Amy [person] ; Burns, John, 1938- [person] ; Wiley, Terry [person] ; Bryant, Clive [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre : the graphic novel : quick text version","","","","England","Towcester","Classical Comics","2008","","141 pages, chiefly colour illustrations, 25 cm","YK.2010.a.5471","England--Social life and customs--Comic books, strips, etc--Juvenile fiction ; Eyre, Jane (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Governesses--England--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel","English","",""
"741.5","014916460","Monograph","Language material ; Text","Volume","GBA920814","","9781906370114","Macdonald, Fiona","1958-","person","","Macdonald, Fiona, 1958- [person] ; Brontë, Charlotte, 1816-1855 [person] ; Gelev, Penko [person]","Jane Eyre","","Graffex","","England","Brighton","Book House","2009","","48 pages, chiefly colour illustrations, 26 cm","YK.2011.b.11701","England--Social life and customs--Comic books, strips, etc--Juvenile fiction ; Eyre, Jane (Fictitious character)--Comic books, strips, etc--Juvenile fiction ; Governesses--England--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel","English","Includes index",""
"741.5","017835775","Monograph","Language material ; Still image ; Text","Volume","GBB662312","","9781927925645 ; 9781927925652","","","","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Manga classics","","Canada","Richmond Hill","Udon Entertainment","2016","","318 pages, chiefly illustrations, 21 cm","","England--Social life and customs--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction ; Novel ; Young adult fiction","English","",""
"741.5","019634973","Monograph","Language material ; Still image ; Text","Volume","GBB9J6100","","9781787330832","Greenberg, Isabel","","person","artist ; author","Greenberg, Isabel, artist ; author [person]","Glass Town","","","","England","London","Jonathan Cape","2020","","1 volume, chiefly illustrations, 26 cm","","Brontë, Charlotte, 1816-1855--Childhood and youth--Comic books, strips, etc--Fiction ; Brontë, Anne, 1820-1849--Childhood and youth--Comic books, strips, etc--Fiction ; Brontë, Patrick Branwell, 1817-1848--Childhood and youth--Comic books, strips, etc--Fiction ; Brontë, Emily, 1818-1848--Childhood and youth--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","Additional physical form: ebook version. 9781473557031",""
"741.5","019636310","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB9J7437","","9781473557031","Greenberg, Isabel","","person","artist ; author","Greenberg, Isabel, artist ; author [person]","Glass Town","","","","England","London","Vintage Digital","2020","","1 online resource, chiefly illustrations","","Brontë, Charlotte, 1816-1855--Childhood and youth--Comic books, strips, etc--Fiction ; Brontë, Anne, 1820-1849--Childhood and youth--Comic books, strips, etc--Fiction ; Brontë, Patrick Branwell, 1817-1848--Childhood and youth--Comic books, strips, etc--Fiction ; Brontë, Emily, 1818-1848--Childhood and youth--Comic books, strips, etc--Fiction","Comic or graphic novel ; Fiction","English","Additional physical form: Print version. 9781787330832",""
"741.5973","015389104","Monograph","Language material ; Text","Volume","GBB0C9687","","9781906814274","Sundel, Al","","person","","Sundel, Al [person] ; Brontë, Charlotte, 1816-1855 [person] ; Brooks, Jon [person] ; Kihl, H. J. [person]","Jane Eyre","","Classics illustrated","number 12 [Classics illustrated]","England","Thatcham","Classic Comic Store","2009","","48 pages, chiefly colour illustrations, 25 cm","YK.2010.a.30347","","","English","Title from cover",""
"741.5973","017913542","Monograph","Language material ; Still image ; Text","Volume","GBB692603","","9781911238034","Sundel, Alfred","","person","author","Sundel, Alfred, author [person] ; Brontë, Charlotte, 1816-1855 [person] ; Kihl, H. J., illustrator [person]","Jane eyre","Classic illustrated presents Jane Eyre ; Jane Eyre","Classics illustrated","","England","Newbury, Berkshire","","2016","","51 pages, chiefly illustrations (black and white and colour), 25 cm","YKL.2018.a.6419","Governesses--Comic books, strips, etc--Juvenile fiction ; Married people--Comic books, strips, etc--Juvenile fiction ; England--Social life and customs--19th century--Comic books, strips, etc--Juvenile fiction ; Mentally ill women--Comic books, strips, etc--Juvenile fiction ; Charity-schools--Comic books, strips, etc--Juvenile fiction ; Young women--Comic books, strips, etc--Juvenile fiction ; Country homes--Comic books, strips, etc--Juvenile fiction ; Fathers and daughters--Comic books, strips, etc--Juvenile fiction","Children's fiction ; Comic or graphic novel","English","Originally published: Cambridge, Massachusetts : Trajectory Comics, 2013",""
"759.69","012963678","Monograph","Language material ; Text","Volume","GBA457037","","9781904634133","Rego, Paula","","person","","Rego, Paula [person] ; Brontë, Charlotte, 1816-1855 [person] ; Warner, Marina, 1946- [person]","Jane Eyre","","","","England","London","Enitharmon","2003","","62 pages, illustrations (some colour), 25 cm","YK.2009.b.520","Brontë, Charlotte, 1816-1855--Illustrations","Illustration","English","35 illustrations by Rego accompanied by extracts from Charlotte Brontë's text ; Originally published in a limited edition, 2003",""
"769.92","016054328","Monograph","Language material ; Text","Volume","GBB266677","","9780900955976","Rego, Paula","","person","","Rego, Paula [person] ; Yale Center for British Art [organisation]","Paula Rego : Jane Eyre : 18 April-14 July 2002","Jane Eyre","","","United States of America","New Haven","Yale Center for British Art","2002","","16 pages, chiefly colour illustrations, 30 cm","LD.31.b.3127","Rego, Paula--Exhibitions ; Brontë, Charlotte, 1816-1855--Illustrations--Exhibitions ; Eyre, Jane (Fictitious character)--Exhibitions","Exhibition","English","Catalog of the exhibition held at the Yale Center for British Art, New Haven",""
"780","014761640","Monograph","Notated music ; Text","Volume","","","9784841931365 ; 9784841931372 ; 9784841931808","Higuchi, Akiko","","person","","Brontë Parsonage Museum, Bonnell 133 [organisation] ; Higuchi, Akiko [person]","The Brontës and music","Branwell Brontë's flute book ; Brontës' world of music","","","Japan","Tokyo","Yushodo","2008","2nd edition","1 score (386 pages) + 1 book (380 pages), 27 cm (in slip case)","E.1920.p","Brontë, Anne, 1820-1849--Criticism and interpretation ; Hymns, English ; Brontë, Emily, 1818-1848 ; Sacred songs with piano ; Brontë, Emily, 1818-1848--Knowledge--Music ; Songs with piano ; Brontë, Charlotte, 1816-1855--Knowledge--Music ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Brontë, Anne, 1820-1849--Knowledge--Music ; Flute music ; Music in literature","","","volume 1 is an edition of two collections of hymns, songs, arias, traditional songs and tunes, etc, the first collection for voice and unfigured bass or piano, the second for unaccompanied flute. The original manuscript form respectively Bonnell manuscript 133 & 56 in the Brontë Parsonage Museum Library ; volume 2 is a monograph",""
"782.1","017348649","Monograph","Notated music","Volume","","","","Karchin, Louis","","person","composer","Karchin, Louis, composer [person] ; Osen, Diane, 1956- [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre : an opera in three acts. Act I","Jane Eyre ; Jane Eyre. Act 1","","","United States of America","New York","American Composers Alliance","2013","Full score","1 score (239 pages), 44 cm","I.660.x./1","Operas--Excerpts--Scores","Excerpt","English","",""
"782.10264","014482569","Monograph","Notated music","Volume","","","","Berkeley, Michael","","person","","Brontë, Charlotte, 1816-1855 [person] ; Malouf, David, 1934- [person] ; Berkeley, Michael [person]","Jane Eyre : an opera in 2 acts","Jane Eyre ; Jane Eyre. Vocal score","","","England","Oxford","Music Hire Library ; Oxford University Press","2000","","1 score (169 pages), 30 cm","G.1111.bb. (1.)","Operas--Vocal scores with piano ; Governesses--England--Drama","Drama ; Vocal score","English","Acc. arr. for piano ; Act 1 engraved, act 2 reproduced from manuscript ; Adapted from the novel by Charlotte Brontë",""
"782.10268","010661679","Monograph","Language material ; Text","Volume","GBA053680","","9780099286264","Berkeley, Michael","","person","","Brontë, Charlotte, 1816-1855 [person] ; Malouf, David, 1934- [person] ; Berkeley, Michael [person]","Jane Eyre","Jane Eyre. Libretto","","","England","London","Vintage","2000","","xi, 27 pages, 20 cm","YK.2001.a.9944","Governesses--England--Drama","Drama","English","'A libretto ... for an opera by Michael Berkeley' - front cover",""
"783.6642","017046676","Monograph","Notated music","Volume","","","","Fowler, Jennifer","1939-","person","composer","Fowler, Jennifer, 1939-, composer [person]","Letter from Haworth : for soprano (or mezzo), clarinet, cello, and piano","","","","England","London","Echoes Music","2005","","1 score (23 pages), 30 cm","G.804.rr. (6.)","Songs (Medium voice) with piano ; Brontë, Charlotte, 1816-1855--Musical settings ; Songs (High voice) with piano","","English","'Score in C'--cover ; Cover title ; Duration: 13 min ; Words from a letter of Charlotte Bronte ; Work composed 1984, revised 2005",""
